Time,Timestamp,X,Y,Z,Magnitude,Pressure,Label
39:32.8,313.6427002,0.127319336,0.613037109,-0.78137207,1.001282689,955.8165629,sd
39:32.9,313.6629944,0.127319336,0.613037109,-0.78137207,1.001282689,955.8165629,sd
39:32.9,313.6833496,0.127319336,0.613037109,-0.78137207,1.001282689,955.8165629,sd
39:32.9,313.7089539,0.16394043,0.790893555,-0.832397461,1.159859738,955.8449184,sd
39:32.9,313.7293396,0.16394043,0.790893555,-0.832397461,1.159859738,955.8449184,sd
39:33.0,313.7497253,0.16394043,0.790893555,-0.832397461,1.159859738,955.8449184,sd
39:33.0,313.7701111,0.16394043,0.790893555,-0.832397461,1.159859738,955.8449184,sd
39:33.0,313.7939758,0.126708984,0.854980469,-0.779052734,1.163602136,955.8449184,sd
39:33.0,313.8144226,0.126708984,0.854980469,-0.779052734,1.163602136,955.8449184,sd
39:33.0,313.835022,0.126708984,0.854980469,-0.779052734,1.163602136,955.8449184,sd
39:33.1,313.8608398,0.066650391,0.759887695,-0.665527344,1.012323184,955.8449184,sd
39:33.1,313.8814392,0.066650391,0.759887695,-0.665527344,1.012323184,955.7706852,sd
